url,country,code,type
https://charts.youtube.com/charts/TopArtists/nz,New Zealand,nz,Top Artists
https://charts.youtube.com/charts/TrendingVideos/ng,Nigeria,ng,Trending Videos
https://charts.youtube.com/charts/TopSongs/ng,Nigeria,ng,Top Songs
https://charts.youtube.com/charts/TopVideos/ng,Nigeria,ng,Top Music Videos
https://charts.youtube.com/charts/TopArtists/ng,Nigeria,ng,Top Artists
https://charts.youtube.com/charts/TrendingVideos/no,Norway,no,Trending Videos
https://charts.youtube.com/charts/TopSongs/no,Norway,no,Top Songs
https://charts.youtube.com/charts/TopVideos/no,Norway,no,Top Music Videos
https://charts.youtube.com/charts/TopArtists/no,Norway,no,Top Artists
https://charts.youtube.com/charts/TrendingVideos/pe,Peru,pe,Trending Videos
https://charts.youtube.com/charts/TopSongs/pe,Peru,pe,Top Songs
https://charts.youtube.com/charts/TopVideos/pe,Peru,pe,Top Music Videos
https://charts.youtube.com/charts/TopArtists/pe,Peru,pe,Top Artists
https://charts.youtube.com/charts/TrendingVideos/pl,Poland,pl,Trending Videos
https://charts.youtube.com/charts/TopSongs/pl,Poland,pl,Top Songs
https://charts.youtube.com/charts/TopVideos/pl,Poland,pl,Top Music Videos
https://charts.youtube.com/charts/TopArtists/pl,Poland,pl,Top Artists
https://charts.youtube.com/charts/TrendingVideos/pt,Portugal,pt,Trending Videos
https://charts.youtube.com/charts/TopSongs/pt,Portugal,pt,Top Songs
https://charts.youtube.com/charts/TopVideos/pt,Portugal,pt,Top Music Videos
https://charts.youtube.com/charts/TopArtists/pt,Portugal,pt,Top Artists
https://charts.youtube.com/charts/TrendingVideos/ro,Romania,ro,Trending Videos
https://charts.youtube.com/charts/TopSongs/ro,Romania,ro,Top Songs
https://charts.youtube.com/charts/TopVideos/ro,Romania,ro,Top Music Videos
https://charts.youtube.com/charts/TopArtists/ro,Romania,ro,Top Artists
https://charts.youtube.com/charts/TrendingVideos/ru,Russia,ru,Trending Videos
https://charts.youtube.com/charts/TopSongs/ru,Russia,ru,Top Songs
https://charts.youtube.com/charts/TopVideos/ru,Russia,ru,Top Music Videos
https://charts.youtube.com/charts/TopArtists/ru,Russia,ru,Top Artists
https://charts.youtube.com/charts/TrendingVideos/rs,Serbia,rs,Trending Videos
https://charts.youtube.com/charts/TopSongs/rs,Serbia,rs,Top Songs
https://charts.youtube.com/charts/TopVideos/rs,Serbia,rs,Top Music Videos
https://charts.youtube.com/charts/TopArtists/rs,Serbia,rs,Top Artists
https://charts.youtube.com/charts/TrendingVideos/za,South Africa,za,Trending Videos
https://charts.youtube.com/charts/TopSongs/za,South Africa,za,Top Songs
https://charts.youtube.com/charts/TopVideos/za,South Africa,za,Top Music Videos
https://charts.youtube.com/charts/TopArtists/za,South Africa,za,Top Artists
https://charts.youtube.com/charts/TrendingVideos/kr,South Korea,kr,Trending Videos
https://charts.youtube.com/charts/TopSongs/kr,South Korea,kr,Top Songs
https://charts.youtube.com/charts/TopVideos/kr,South Korea,kr,Top Music Videos
https://charts.youtube.com/charts/TopArtists/kr,South Korea,kr,Top Artists
https://charts.youtube.com/charts/TrendingVideos/es,Spain,es,Trending Videos
https://charts.youtube.com/charts/TopSongs/es,Spain,es,Top Songs
https://charts.youtube.com/charts/TopVideos/es,Spain,es,Top Music Videos
https://charts.youtube.com/charts/TopArtists/es,Spain,es,Top Artists
https://charts.youtube.com/charts/TrendingVideos/se,Sweden,se,Trending Videos
https://charts.youtube.com/charts/TopSongs/se,Sweden,se,Top Songs
https://charts.youtube.com/charts/TopVideos/se,Sweden,se,Top Music Videos
https://charts.youtube.com/charts/TopArtists/se,Sweden,se,Top Artists
https://charts.youtube.com/charts/TrendingVideos/ch,Switzerland,ch,Trending Videos
https://charts.youtube.com/charts/TopSongs/ch,Switzerland,ch,Top Songs
https://charts.youtube.com/charts/TopVideos/ch,Switzerland,ch,Top Music Videos
https://charts.youtube.com/charts/TopArtists/ch,Switzerland,ch,Top Artists
https://charts.youtube.com/charts/TrendingVideos/tz,Tanzania,tz,Trending Videos
https://charts.youtube.com/charts/TopSongs/tz,Tanzania,tz,Top Songs
https://charts.youtube.com/charts/TopVideos/tz,Tanzania,tz,Top Music Videos
https://charts.youtube.com/charts/TopArtists/tz,Tanzania,tz,Top Artists
https://charts.youtube.com/charts/TrendingVideos/tr,Turkey,tr,Trending Videos
https://charts.youtube.com/charts/TopSongs/tr,Turkey,tr,Top Songs
https://charts.youtube.com/charts/TopVideos/tr,Turkey,tr,Top Music Videos
https://charts.youtube.com/charts/TopArtists/tr,Turkey,tr,Top Artists
https://charts.youtube.com/charts/TrendingVideos/ug,Uganda,ug,Trending Videos
https://charts.youtube.com/charts/TopSongs/ug,Uganda,ug,Top Songs
https://charts.youtube.com/charts/TopVideos/ug,Uganda,ug,Top Music Videos
https://charts.youtube.com/charts/TopArtists/ug,Uganda,ug,Top Artists
https://charts.youtube.com/charts/TrendingVideos/ua,Ukraine,ua,Trending Videos
https://charts.youtube.com/charts/TopSongs/ua,Ukraine,ua,Top Songs
https://charts.youtube.com/charts/TopVideos/ua,Ukraine,ua,Top Music Videos
https://charts.youtube.com/charts/TopArtists/ua,Ukraine,ua,Top Artists
https://charts.youtube.com/charts/TrendingVideos/gb,United Kingdom,gb,Trending Videos
https://charts.youtube.com/charts/TopSongs/gb,United Kingdom,gb,Top Songs
https://charts.youtube.com/charts/TopVideos/gb,United Kingdom,gb,Top Music Videos
https://charts.youtube.com/charts/TopArtists/gb,United Kingdom,gb,Top Artists
https://charts.youtube.com/charts/TrendingVideos/us,United States,us,Trending Videos
https://charts.youtube.com/charts/TopSongs/us,United States,us,Top Songs
https://charts.youtube.com/charts/TopVideos/us,United States,us,Top Music Videos
https://charts.youtube.com/charts/TopArtists/us,United States,us,Top Artists
https://charts.youtube.com/charts/TrendingVideos/zw,Zimbabwe,zw,Trending Videos
https://charts.youtube.com/charts/TopSongs/zw,Zimbabwe,zw,Top Songs
https://charts.youtube.com/charts/TopVideos/zw,Zimbabwe,zw,Top Music Videos
https://charts.youtube.com/charts/TopArtists/zw,Zimbabwe,zw,Top Artists
